==== Tabulation Table ====
    	|   0	|  50	| 100	| 150	| 200	| 250	| 300	| 350	| 400	| 450	| 500	| 550	| 600	| 650	| 700	| 750	| 800	|
Star E	|[]	|[]	|[Star D ]	|[Star D ]	|[Star D ]	|[Star E ]	|[Star D Star E ]	|[Star D Star E ]	|[Star D Star E ]	|[Star A Star E ]	|[Star A Star E ]	|[Star A Star D Star E ]	|[Star A Star D Star E ]	|[Star A Star D Star E ]	|[Star A Star D Star E ]	|[Star A Star D Star E ]	|[Star A Star D Star E ]	|
Star F	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star E Star F ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star A Star E Star F ]	|[Star A Star D Star E ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|
Star G	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star E Star F ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star A Star E Star F ]	|[Star A Star D Star E ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|
Star H	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star E Star F ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star A Star E Star F ]	|[Star A Star D Star E ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|
Star I	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star E Star F ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star A Star E Star F ]	|[Star A Star D Star E ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F ]	|
Star J	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star K	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star L	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star M	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star N	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star O	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star P	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star Q	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star R	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star S	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
Star T	|[]	|[Star F ]	|[Star D ]	|[Star D Star F ]	|[Star D Star F ]	|[Star D Star F Star J ]	|[Star D Star E ]	|[Star D Star E Star F ]	|[Star D Star E Star F ]	|[Star D Star E Star F Star J ]	|[Star D Star E Star F Star J ]	|[Star A Star E Star F Star J ]	|[Star A Star D Star E Star F ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|[Star A Star D Star E Star F Star J ]	|
